graph_name,vertices,edges,dat_file,tokens,dat_file_s_id
ash331GPIA,662,4181,ash331GPIA_01,228,82
ash331GPIA,662,4181,ash331GPIA_02,228,83
ash608GPIA,1216,7844,ash608GPIA_01,423,84
ash608GPIA,1216,7844,ash608GPIA_02,422,85
ash958GPIA,1916,12506,ash958GPIA_01,662,86
ash958GPIA,1916,12506,ash958GPIA_02,661,87
david,87,406,david_01,36,88
david,87,406,david_02,35,89
games120,120,638,games120_01,22,90
games120,120,638,games120_02,21,91
huck,74,301,huck_01,27,92
huck,74,301,huck_02,26,93
latin_square_10,900,307350,latin_square_10_01,9,94
latin_square_10,900,307350,latin_square_10_02,9,95
le450_15a,450,8168,le450_15a_01,75,96
le450_15a,450,8168,le450_15a_02,74,97
le450_15b,450,8169,le450_15b_01,78,98
le450_15b,450,8169,le450_15b_02,77,99
le450_15c,450,16680,le450_15c_01,41,100
le450_15c,450,16680,le450_15c_02,40,101
le450_15d,450,16750,le450_15d_01,40,102
le450_15d,450,16750,le450_15d_02,40,103
le450_25a,450,8260,le450_25a_01,91,104
le450_25a,450,8260,le450_25a_02,90,105
le450_25b,450,8263,le450_25b_01,78,106
le450_25b,450,8263,le450_25b_02,77,107
le450_25c,450,17343,le450_25c_01,47,108
le450_25c,450,17343,le450_25c_02,46,109
le450_25d,450,17425,le450_25d_01,43,110
le450_25d,450,17425,le450_25d_02,42,111
le450_5a,450,5714,le450_5a_01,89,112
le450_5a,450,5714,le450_5a_02,89,113
le450_5b,450,5734,le450_5b_01,89,114
le450_5b,450,5734,le450_5b_02,89,115
le450_5c,450,9803,le450_5c_01,89,116
le450_5c,450,9803,le450_5c_02,89,117
le450_5d,450,9757,le450_5d_01,89,118
le450_5d,450,9757,le450_5d_02,89,119
miles1000,128,3216,miles1000_01,8,120
miles1000,128,3216,miles1000_02,7,121
miles1500,128,5198,miles1500_01,5,122
miles1500,128,5198,miles1500_02,4,123
miles500,128,1170,miles500_01,18,124
miles500,128,1170,miles500_02,17,125
miles750,128,2113,miles750_01,12,126
miles750,128,2113,miles750_02,11,127
mug100_1,100,166,mug100_1_01,33,128
mug100_1,100,166,mug100_1_02,32,129
mug100_25,100,166,mug100_25_01,33,130
mug100_25,100,166,mug100_25_02,32,131
mug88_1,88,146,mug88_1_01,29,132
mug88_1,88,146,mug88_1_02,28,133
mug88_25,88,146,mug88_25_01,29,134
mug88_25,88,146,mug88_25_02,28,135
myciel3,11,20,myciel3_01,4,136
myciel3,11,20,myciel3_02,4,137
myciel4,23,71,myciel4_01,10,138
myciel4,23,71,myciel4_02,10,139
myciel5,47,236,myciel5_01,22,140
myciel5,47,236,myciel5_02,22,141
myciel6,95,755,myciel6_01,46,142
myciel6,95,755,myciel6_02,46,143
myciel7,191,2360,myciel7_01,94,144
myciel7,191,2360,myciel7_02,94,145
qg.order100,10000,990000,qg.order100_01,99,146
qg.order100,10000,990000,qg.order100_02,99,147
qg.order30,900,26100,qg.order30_01,29,148
qg.order30,900,26100,qg.order30_02,29,149
qg.order40,1600,62400,qg.order40_01,39,150
qg.order40,1600,62400,qg.order40_02,39,151
qg.order60,3600,212400,qg.order60_01,59,152
qg.order60,3600,212400,qg.order60_02,59,153
queen10_10,100,1470,queen10_10_01,9,154
queen10_10,100,1470,queen10_10_02,9,155
queen11_11,121,1980,queen11_11_01,10,156
queen11_11,121,1980,queen11_11_02,10,157
queen12_12,144,2596,queen12_12_01,11,158
queen12_12,144,2596,queen12_12_02,11,159
queen13_13,169,3328,queen13_13_01,12,160
queen13_13,169,3328,queen13_13_02,12,161
queen14_14,196,4186,queen14_14_01,13,162
queen14_14,196,4186,queen14_14_02,13,163
queen15_15,225,5180,queen15_15_01,14,164
queen15_15,225,5180,queen15_15_02,14,165
queen16_16,256,6320,queen16_16_01,15,166
queen16_16,256,6320,queen16_16_02,15,167
queen5_5,25,160,queen5_5_01,4,168
queen5_5,25,160,queen5_5_02,4,169
queen6_6,36,290,queen6_6_01,5,170
queen6_6,36,290,queen6_6_02,5,171
queen7_7,49,476,queen7_7_01,6,172
queen7_7,49,476,queen7_7_02,6,173
queen8_12,96,1368,queen8_12_01,8,174
queen8_12,96,1368,queen8_12_02,7,175
queen8_8,64,728,queen8_8_01,7,176
queen8_8,64,728,queen8_8_02,7,177
queen9_9,81,1056,queen9_9_01,8,178
queen9_9,81,1056,queen9_9_02,8,179
school1,385,19095,school1_01,41,180
school1,385,19095,school1_02,40,181
school1_nsh,352,14612,school1_nsh_01,39,182
school1_nsh,352,14612,school1_nsh_02,38,183
wap01a,2368,110871,wap01a_01,152,184
wap01a,2368,110871,wap01a_02,151,185
wap02a,2464,111742,wap02a_01,170,186
wap02a,2464,111742,wap02a_02,169,187
wap03a,4730,286722,wap03a_01,296,188
wap03a,4730,286722,wap03a_02,295,189
wap04a,5231,294902,wap04a_01,341,190
wap04a,5231,294902,wap04a_02,340,191
wap05a,905,43081,wap05a_01,79,192
wap05a,905,43081,wap05a_02,78,193
wap06a,947,43571,wap06a_01,85,194
wap06a,947,43571,wap06a_02,84,195
wap07a,1809,103368,wap07a_01,138,196
wap07a,1809,103368,wap07a_02,137,197
wap08a,1870,104176,wap08a_01,150,198
wap08a,1870,104176,wap08a_02,149,199
will199GPIA,701,6772,will199GPIA_01,190,200
will199GPIA,701,6772,will199GPIA_02,189,201
grid004x004,16,24,grid004x004_01,7,202
grid004x004,16,24,grid004x004_02,7,203
grid004x004,16,24,grid004x004_03,6,204
grid004x004,16,24,grid004x004_04,6,205
grid004x004,16,24,grid004x004_05,7,206
grid010x010,100,180,grid010x010_01_6141,48,207
grid010x010,100,180,grid010x010_02_0495,49,208
grid010x010,100,180,grid010x010_03_6844,49,209
grid010x010,100,180,grid010x010_04_4957,48,210
grid020x020,400,760,grid020x020_01_9275,198,211
grid020x020,400,760,grid020x020_02_7550,199,212
grid020x020,400,760,grid020x020_03_3902,198,213
grid020x020,400,760,grid020x020_04_3283,199,214
grid030x030,900,1740,grid030x030_01_6931,449,215
grid030x030,900,1740,grid030x030_02_7112,448,216
grid030x030,900,1740,grid030x030_03_4248,449,217
grid030x030,900,1740,grid030x030_04_2988,448,218
grid040x040,1600,3120,grid040x040_01_6703,799,219
grid040x040,1600,3120,grid040x040_02_3552,799,220
grid040x040,1600,3120,grid040x040_03_0746,798,221
grid040x040,1600,3120,grid040x040_04_3680,798,222
grid050x050,2500,4900,grid050x050_01_8271,1249,223
grid050x050,2500,4900,grid050x050_02_8314,1248,224
grid050x050,2500,4900,grid050x050_03_4298,1249,225
grid050x050,2500,4900,grid050x050_04_8232,1248,226
grid060x060,3600,7080,grid060x060_01_5912,1799,227
grid060x060,3600,7080,grid060x060_02_4571,1798,228
grid060x060,3600,7080,grid060x060_03_2183,1798,229
grid060x060,3600,7080,grid060x060_04_3263,1799,230
grid070x070,4900,9660,grid070x070_01_6558,2449,231
grid070x070,4900,9660,grid070x070_02_7903,2448,232
grid070x070,4900,9660,grid070x070_03_4857,2448,233
grid070x070,4900,9660,grid070x070_04_3525,2449,234
grid080x080,6400,12640,grid080x080_01_9321,3199,235
grid080x080,6400,12640,grid080x080_02_8623,3198,236
grid080x080,6400,12640,grid080x080_03_8653,3199,237
grid080x080,6400,12640,grid080x080_04_8592,3198,238
grid090x090,8100,16020,grid090x090_01_0710,4048,239
grid090x090,8100,16020,grid090x090_02_9631,4049,240
grid090x090,8100,16020,grid090x090_03_8778,4048,241
grid090x090,8100,16020,grid090x090_04_4969,4049,242
grid100x100,10000,19800,grid100x100_01_9072,4998,243
grid100x100,10000,19800,grid100x100_02_7191,4999,244
grid100x100,10000,19800,grid100x100_03_4887,4998,245
grid100x100,10000,19800,grid100x100_04_0664,4999,246
grid200x200,40000,79600,grid200x200_01_8265,19998,247
grid200x200,40000,79600,grid200x200_02_2458,19999,248
grid200x200,40000,79600,grid200x200_03_0743,19999,249
grid200x200,40000,79600,grid200x200_04_2816,19998,250
hc-power-11,21,28,hc-power-11_01,9,251
hc-power-12,36,51,hc-power-12_01,15,252
hc-square-01,14,18,hc-square-01_01,6,253
hc-square-02,24,33,hc-square-02_01,10,254
hc-toyno-01,6,9,hc-toyno-01_01,2,255
hc-toyyes-01,7,7,hc-toyyes-01_01,3,256
hc-power-004-002,64,95,hc-power-004-002_01,26,257
hc-power-005-002,79,118,hc-power-005-002_01,32,258
hc-power-006-002,94,141,hc-power-006-002_01,38,259
hc-power-007-002,109,164,hc-power-007-002_01,44,260
hc-power-008-002,124,187,hc-power-008-002_01,50,261
hc-power-009-002,139,210,hc-power-009-002_01,56,262
hc-power-010-002,154,233,hc-power-010-002_01,62,263
hc-power-011-002,169,256,hc-power-011-002_01,68,264
hc-power-012-002,184,279,hc-power-012-002_01,74,265
hc-power-013-002,199,302,hc-power-013-002_01,80,266
hc-power-014-002,214,325,hc-power-014-002_01,86,267
hc-power-015-002,229,348,hc-power-015-002_01,92,268
hc-power-016-002,244,371,hc-power-016-002_01,98,269
hc-power-017-002,259,394,hc-power-017-002_01,104,270
hc-power-018-002,274,417,hc-power-018-002_01,110,271
hc-power-019-002,289,440,hc-power-019-002_01,116,272
hc-power-020-002,304,463,hc-power-020-002_01,122,273
queen008x008,64,728,queen008x008_01_4136,7,274
queen008x008,64,728,queen008x008_02_8804,7,275
queen008x008,64,728,queen008x008_03_8723,7,276
queen008x008,64,728,queen008x008_04_4441,7,277
queen010x010,100,1470,queen010x010_01_0612,9,278
queen010x010,100,1470,queen010x010_02_5832,9,279
queen010x010,100,1470,queen010x010_03_7635,9,280
queen010x010,100,1470,queen010x010_04_2943,9,281
queen020x020,400,12540,queen020x020_01_7075,19,282
queen020x020,400,12540,queen020x020_02_4815,19,283
queen020x020,400,12540,queen020x020_03_8667,19,284
queen020x020,400,12540,queen020x020_04_0961,19,285
queen030x030,900,43210,queen030x030_01_3761,29,286
queen030x030,900,43210,queen030x030_02_4963,29,287
queen030x030,900,43210,queen030x030_03_7394,29,288
queen030x030,900,43210,queen030x030_04_9144,29,289
queen040x040,1600,103480,queen040x040_01_6291,39,290
queen040x040,1600,103480,queen040x040_02_9487,39,291
queen040x040,1600,103480,queen040x040_03_7037,39,292
queen040x040,1600,103480,queen040x040_04_8369,39,293
queen050x050,2500,203350,queen050x050_01_6006,49,294
queen050x050,2500,203350,queen050x050_02_6166,49,295
queen050x050,2500,203350,queen050x050_03_0562,49,296
queen050x050,2500,203350,queen050x050_04_9047,49,297
queen060x060,3600,352820,queen060x060_01_8336,59,298
queen060x060,3600,352820,queen060x060_02_6710,59,299
queen060x060,3600,352820,queen060x060_03_1394,59,300
queen060x060,3600,352820,queen060x060_04_3799,59,301
queen070x070,4900,561890,queen070x070_01_1828,69,302
queen070x070,4900,561890,queen070x070_02_8683,69,303
queen070x070,4900,561890,queen070x070_03_1545,69,304
queen070x070,4900,561890,queen070x070_04_7426,69,305
queen080x080,6400,840560,queen080x080_01_0297,79,306
queen080x080,6400,840560,queen080x080_02_2368,79,307
queen080x080,6400,840560,queen080x080_03_0355,79,308
queen080x080,6400,840560,queen080x080_04_4954,79,309
queen090x090,8100,1198830,queen090x090_01_8978,89,310
queen090x090,8100,1198830,queen090x090_02_0808,89,311
queen090x090,8100,1198830,queen090x090_03_9570,89,312
queen090x090,8100,1198830,queen090x090_04_1188,89,313
queen100x100,10000,1646700,queen100x100_01_3955,99,314
queen100x100,10000,1646700,queen100x100_02_1699,99,315
queen100x100,10000,1646700,queen100x100_03_6670,99,316
queen100x100,10000,1646700,queen100x100_04_0618,99,317
queen200x200,40000,13253400,queen200x200_01_0761,199,318
queen200x200,40000,13253400,queen200x200_02_3057,199,319
queen200x200,40000,13253400,queen200x200_03_0327,199,320
queen200x200,40000,13253400,queen200x200_04_4796,199,321
sp001,13,66,sp001_01,2,322
sp002,26,150,sp002_01,4,323
sp003,39,234,sp003_01,6,324
sp004,52,318,sp004_01,8,325
sp005,65,402,sp005_01,10,326
sp006,78,486,sp006_01,12,327
sp007,91,570,sp007_01,14,328
sp008,104,654,sp008_01,16,329
sp009,117,738,sp009_01,18,330
sp010,130,822,sp010_01,20,331
sp011,143,906,sp011_01,22,332
sp012,156,990,sp012_01,24,333
sp013,169,1074,sp013_01,26,334
sp014,182,1158,sp014_01,28,335
sp015,195,1242,sp015_01,30,336
sp016,208,1326,sp016_01,32,337
sp017,221,1410,sp017_01,34,338
sp018,234,1494,sp018_01,36,339
sp019,247,1578,sp019_01,38,340
sp020,260,1662,sp020_01,40,341
sp021,273,1746,sp021_01,42,342
sp022,286,1830,sp022_01,44,343
sp023,299,1914,sp023_01,46,344
sp024,312,1998,sp024_01,48,345
sp025,325,2082,sp025_01,50,346
sp026,338,2166,sp026_01,52,347
sp027,351,2250,sp027_01,54,348
sp028,364,2334,sp028_01,56,349
sp029,377,2418,sp029_01,58,350
sp030,390,2502,sp030_01,60,351
hc-square-004-002,44,63,hc-square-004-002_01,18,352
hc-square-005-002,54,78,hc-square-005-002_01,22,353
hc-square-006-002,64,93,hc-square-006-002_01,26,257
hc-square-007-002,74,108,hc-square-007-002_01,30,354
hc-square-008-002,84,123,hc-square-008-002_01,34,355
hc-square-009-002,94,138,hc-square-009-002_01,38,259
hc-square-010-002,104,153,hc-square-010-002_01,42,356
hc-square-011-002,114,168,hc-square-011-002_01,46,357
hc-square-012-002,124,183,hc-square-012-002_01,50,261
hc-square-013-002,134,198,hc-square-013-002_01,54,358
hc-square-014-002,144,213,hc-square-014-002_01,58,359
hc-square-015-002,154,228,hc-square-015-002_01,62,263
hc-square-016-002,164,243,hc-square-016-002_01,66,360
hc-square-017-002,174,258,hc-square-017-002_01,70,361
hc-square-018-002,184,273,hc-square-018-002_01,74,265
hc-square-019-002,194,288,hc-square-019-002_01,78,362
hc-square-020-002,204,303,hc-square-020-002_01,82,363
LGC_exp_instance001,13,15,LGC_exp_instance001_01,6,364
LGC_exp_instance002,38,44,LGC_exp_instance002_01,18,365
LGC_exp_instance003,75,87,LGC_exp_instance003_01,36,366
LGC_exp_instance004,124,144,LGC_exp_instance004_01,60,367
LGC_exp_instance005,185,215,LGC_exp_instance005_01,90,368
LGC_exp_instance006,258,300,LGC_exp_instance006_01,126,369
LGC_exp_instance007,343,399,LGC_exp_instance007_01,168,370
LGC_exp_instance008,440,512,LGC_exp_instance008_01,216,371
LGC_exp_instance009,549,639,LGC_exp_instance009_01,270,372
LGC_exp_instance010,670,780,LGC_exp_instance010_01,330,373
SAT_exp_instance002,6,5,SAT_exp_instance002_01,3,374
SAT_exp_instance004,18,22,SAT_exp_instance004_01,8,375
SAT_exp_instance006,36,51,SAT_exp_instance006_01,15,376
SAT_exp_instance008,60,92,SAT_exp_instance008_01,24,377
SAT_exp_instance010,90,145,SAT_exp_instance010_01,35,378
SAT_exp_instance012,126,210,SAT_exp_instance012_01,48,379
SAT_exp_instance014,168,287,SAT_exp_instance014_01,63,380
SAT_exp_instance016,216,376,SAT_exp_instance016_01,80,381
SAT_exp_instance018,270,477,SAT_exp_instance018_01,99,382
SAT_exp_instance020,330,590,SAT_exp_instance020_01,120,383
suzuki_instance_3_10_2_2,308,1086,suzuki_instance_3_10_2_2_01,62,384
suzuki_instance_3_11_2_2,338,1193,suzuki_instance_3_11_2_2_01,68,385
suzuki_instance_3_12_2_2,368,1300,suzuki_instance_3_12_2_2_01,74,386
suzuki_instance_3_13_2_2,398,1407,suzuki_instance_3_13_2_2_01,80,387
suzuki_instance_3_14_2_2,428,1514,suzuki_instance_3_14_2_2_01,86,388
suzuki_instance_3_15_2_2,458,1621,suzuki_instance_3_15_2_2_01,92,389
suzuki_instance_3_16_2_2,488,1728,suzuki_instance_3_16_2_2_01,98,390
suzuki_instance_3_17_2_2,518,1835,suzuki_instance_3_17_2_2_01,104,391
suzuki_instance_3_18_2_2,548,1942,suzuki_instance_3_18_2_2_01,110,392
suzuki_instance_3_19_2_2,578,2049,suzuki_instance_3_19_2_2_01,116,393
suzuki_instance_3_20_2_2,608,2156,suzuki_instance_3_20_2_2_01,122,394
suzuki_instance_3_4_2_2,128,444,suzuki_instance_3_4_2_2_01,26,395
suzuki_instance_3_5_2_2,158,551,suzuki_instance_3_5_2_2_01,32,396
suzuki_instance_3_6_2_2,188,658,suzuki_instance_3_6_2_2_01,38,397
suzuki_instance_3_7_2_2,218,765,suzuki_instance_3_7_2_2_01,44,398
suzuki_instance_3_8_2_2,248,872,suzuki_instance_3_8_2_2_01,50,399
suzuki_instance_3_9_2_2,278,979,suzuki_instance_3_9_2_2_01,56,400
suzuki_instance_3_10_2_3,462,2559,suzuki_instance_3_10_2_3_01,62,401
suzuki_instance_3_11_2_3,507,2811,suzuki_instance_3_11_2_3_01,68,402
suzuki_instance_3_12_2_3,552,3063,suzuki_instance_3_12_2_3_01,74,403
suzuki_instance_3_13_2_3,597,3315,suzuki_instance_3_13_2_3_01,80,404
suzuki_instance_3_14_2_3,642,3567,suzuki_instance_3_14_2_3_01,86,405
suzuki_instance_3_15_2_3,687,3819,suzuki_instance_3_15_2_3_01,92,406
suzuki_instance_3_16_2_3,732,4071,suzuki_instance_3_16_2_3_01,98,407
suzuki_instance_3_17_2_3,777,4323,suzuki_instance_3_17_2_3_01,104,408
suzuki_instance_3_18_2_3,822,4575,suzuki_instance_3_18_2_3_01,110,409
suzuki_instance_3_19_2_3,867,4827,suzuki_instance_3_19_2_3_01,116,410
suzuki_instance_3_20_2_3,912,5079,suzuki_instance_3_20_2_3_01,122,411
suzuki_instance_3_4_2_3,192,1047,suzuki_instance_3_4_2_3_01,26,412
suzuki_instance_3_5_2_3,237,1299,suzuki_instance_3_5_2_3_01,32,413
suzuki_instance_3_6_2_3,282,1551,suzuki_instance_3_6_2_3_01,38,414
suzuki_instance_3_7_2_3,327,1803,suzuki_instance_3_7_2_3_01,44,415
suzuki_instance_3_8_2_3,372,2055,suzuki_instance_3_8_2_3_01,50,416
suzuki_instance_3_9_2_3,417,2307,suzuki_instance_3_9_2_3_01,56,417
suzuki_instance_2_10_2_2,208,716,suzuki_instance_2_10_2_2_01,42,418
suzuki_instance_2_11_2_2,228,786,suzuki_instance_2_11_2_2_01,46,419
suzuki_instance_2_12_2_2,248,856,suzuki_instance_2_12_2_2_01,50,399
suzuki_instance_2_13_2_2,268,926,suzuki_instance_2_13_2_2_01,54,420
suzuki_instance_2_14_2_2,288,996,suzuki_instance_2_14_2_2_01,58,421
suzuki_instance_2_15_2_2,308,1066,suzuki_instance_2_15_2_2_01,62,384
suzuki_instance_2_16_2_2,328,1136,suzuki_instance_2_16_2_2_01,66,422
suzuki_instance_2_17_2_2,348,1206,suzuki_instance_2_17_2_2_01,70,423
suzuki_instance_2_18_2_2,368,1276,suzuki_instance_2_18_2_2_01,74,386
suzuki_instance_2_19_2_2,388,1346,suzuki_instance_2_19_2_2_01,78,424
suzuki_instance_2_20_2_2,408,1416,suzuki_instance_2_20_2_2_01,82,425
suzuki_instance_2_4_2_2,88,296,suzuki_instance_2_4_2_2_01,18,426
suzuki_instance_2_5_2_2,108,366,suzuki_instance_2_5_2_2_01,22,427
suzuki_instance_2_6_2_2,128,436,suzuki_instance_2_6_2_2_01,26,395
suzuki_instance_2_7_2_2,148,506,suzuki_instance_2_7_2_2_01,30,428
suzuki_instance_2_8_2_2,168,576,suzuki_instance_2_8_2_2_01,34,429
suzuki_instance_2_9_2_2,188,646,suzuki_instance_2_9_2_2_01,38,397
suzuki_instance_2_10_2_3,312,1689,suzuki_instance_2_10_2_3_01,42,430
suzuki_instance_2_11_2_3,342,1854,suzuki_instance_2_11_2_3_01,46,431
suzuki_instance_2_12_2_3,372,2019,suzuki_instance_2_12_2_3_01,50,416
suzuki_instance_2_13_2_3,402,2184,suzuki_instance_2_13_2_3_01,54,432
suzuki_instance_2_14_2_3,432,2349,suzuki_instance_2_14_2_3_01,58,433
suzuki_instance_2_15_2_3,462,2514,suzuki_instance_2_15_2_3_01,62,401
suzuki_instance_2_16_2_3,492,2679,suzuki_instance_2_16_2_3_01,66,434
suzuki_instance_2_17_2_3,522,2844,suzuki_instance_2_17_2_3_01,70,435
suzuki_instance_2_18_2_3,552,3009,suzuki_instance_2_18_2_3_01,74,403
suzuki_instance_2_19_2_3,582,3174,suzuki_instance_2_19_2_3_01,78,436
suzuki_instance_2_20_2_3,612,3339,suzuki_instance_2_20_2_3_01,82,437
suzuki_instance_2_4_2_3,132,699,suzuki_instance_2_4_2_3_01,18,438
suzuki_instance_2_5_2_3,162,864,suzuki_instance_2_5_2_3_01,22,439
suzuki_instance_2_6_2_3,192,1029,suzuki_instance_2_6_2_3_01,26,412
suzuki_instance_2_7_2_3,222,1194,suzuki_instance_2_7_2_3_01,30,440
suzuki_instance_2_8_2_3,252,1359,suzuki_instance_2_8_2_3_01,34,441
suzuki_instance_2_9_2_3,282,1524,suzuki_instance_2_9_2_3_01,38,414
ph-03-02,41,57,ph-03-02_01,17,442
ph-03-03,59,87,ph-03-03_01,23,443
ph-04-03,89,132,ph-04-03_01,36,444
ph-04-04,117,182,ph-04-04_01,46,445
ph-05-04,165,256,ph-05-04_01,67,446
ph-05-05,205,331,ph-05-05_01,82,447
ph-06-05,275,441,ph-06-05_01,113,448
ph-06-06,329,546,ph-06-06_01,134,449
ph-07-06,425,699,ph-07-06_01,177,450
ph-07-07,495,839,ph-07-07_01,205,451
ph-08-07,621,1042,ph-08-07_01,262,452
ph-08-08,709,1222,ph-08-08_01,298,453
ph-09-08,869,1482,ph-09-08_01,371,454
ph-09-09,977,1707,ph-09-09_01,416,455
ph-10-09,1175,2031,ph-10-09_01,507,456
ph-10-10,1305,2306,ph-10-10_01,562,457
ph-11-10,1545,2701,ph-11-10_01,673,458
ph-11-11,1699,3031,ph-11-11_01,739,459
ph-12-11,1985,3504,ph-12-11_01,872,460
ph-12-12,2165,3894,ph-12-12_01,950,461
ph-13-12,2501,4452,ph-13-12_01,1107,462
ph-13-13,2709,4907,ph-13-13_01,1198,463
ph-14-13,3099,5557,ph-14-13_01,1381,464
ph-14-14,3337,6082,ph-14-14_01,1486,465
ph-15-14,3785,6831,ph-15-14_01,1697,466
ph-15-15,4055,7431,ph-15-15_01,1817,467
ph-16-15,4565,8286,ph-16-15_01,2058,468
ph-16-16,4869,8966,ph-16-16_01,2194,469
ph-17-16,5445,9934,ph-17-16_01,2467,470
ph-17-17,5785,10699,ph-17-17_01,2620,471
ph-18-17,6431,11787,ph-18-17_01,2927,472
ph-18-18,6809,12642,ph-18-18_01,3098,473
ph-19-18,7529,13857,ph-19-18_01,3441,474
ph-19-19,7947,14807,ph-19-19_01,3631,475
ph-20-19,8745,16156,ph-20-19_01,4012,476
ph-20-20,9205,17206,ph-20-20_01,4222,477
random_instance001_graph001,13,39,random_instance001_graph001_01,3,478
random_instance001_graph002,13,39,random_instance001_graph002_01,3,479
random_instance001_graph003,13,39,random_instance001_graph003_01,3,480
random_instance001_graph004,13,39,random_instance001_graph004_01,4,481
random_instance001_graph005,13,39,random_instance001_graph005_01,3,482
random_instance002_graph001,26,78,random_instance002_graph001_01,8,483
random_instance002_graph002,26,78,random_instance002_graph002_01,7,484
random_instance002_graph003,26,78,random_instance002_graph003_01,8,485
