graph_name,vertices,edges,dat_file,tokens,independent_sets,cpu_time,wallclock_time,max_memory,zdd_time,zdd_size,solved?,error,reconfiguration_sequence_length,type
hc-power-020-002,304,463,hc-power-020-002_01,122,501741151714369915506768957681239053884548329894829212368,9577.37,9600,140813164,0.098703,1306,0,,,orig
hc-power-020-002,304,463,hc-power-020-002_01,122,501741151714369915506768957681239053884548329894829212368,9577.02,9600,139422852,0.098605,1382,0,,,heur
hc-power-020-002,304,463,hc-power-020-002_01,122,501741151714369915506768957681239053884548329894829212368,9577.561,9600,139392424,0.099325,1382,0,,,opt
suzuki_instance_3_16_2_2,488,1728,suzuki_instance_3_16_2_2_01,98,32326749630884469805020004288078497229792374893732094296621301357,9580.261,9600,138170632,0.656765,2204,0,,,heur
hc-power-016-002,244,371,hc-power-016-002_01,98,3443831093462389356374187356733005542648388264,9582.67,9600,69214320,0.063419,1042,0,,,orig
hc-power-016-002,244,371,hc-power-016-002_01,98,3443831093462389356374187356733005542648388264,9583.16,9600,68170408,0.063084,1102,0,,,heur
hc-power-016-002,244,371,hc-power-016-002_01,98,3443831093462389356374187356733005542648388264,9582.81,9600,68139420,0.063638,1102,0,,,opt
suzuki_instance_3_16_2_2,488,1728,suzuki_instance_3_16_2_2_01,98,32326749630884469805020004288078497229792374893732094296621301357,9578.98,9600,138130168,0.666171,2204,0,,,opt
suzuki_instance_3_13_2_3,597,3315,suzuki_instance_3_13_2_3_01,80,810956209263646734902287892470949536167033789941127227106079339,8387.78,8399,34786120,1.702803,2676,1,,221016,heur
suzuki_instance_3_16_2_2,488,1728,suzuki_instance_3_16_2_2_01,98,32326749630884469805020004288078497229792374893732094296621301357,9575.859,9600,139334788,0.686959,2084,0,,,orig
suzuki_instance_3_15_2_3,687,3819,suzuki_instance_3_15_2_3_01,92,2213911939438873187790612775592103903967231260949938268585188482722001665,9580.31,9600,137275036,2.253552,3096,0,,,opt
suzuki_instance_3_13_2_3,597,3315,suzuki_instance_3_13_2_3_01,80,810956209263646734902287892470949536167033789941127227106079339,8429.37,8441,34786944,1.700045,2676,1,,221016,opt
suzuki_instance_3_15_2_3,687,3819,suzuki_instance_3_15_2_3_01,92,2213911939438873187790612775592103903967231260949938268585188482722001665,9580.3,9600,137266564,2.261101,3096,0,,,heur
suzuki_instance_3_13_2_2,398,1407,suzuki_instance_3_13_2_2_01,80,45366461598361157816823991857826456582625720201035763,4750.86,4757,18857884,0.414979,1688,1,,221016,orig
suzuki_instance_3_13_2_2,398,1407,suzuki_instance_3_13_2_2_01,80,45366461598361157816823991857826456582625720201035763,4940.1,4947,18520516,0.406841,1784,1,,221016,heur
suzuki_instance_3_13_2_3,597,3315,suzuki_instance_3_13_2_3_01,80,810956209263646734902287892470949536167033789941127227106079339,8222.22,8233,35388160,1.834088,2532,1,,221016,orig
suzuki_instance_3_13_2_2,398,1407,suzuki_instance_3_13_2_2_01,80,45366461598361157816823991857826456582625720201035763,4905.63,4912,18521816,0.407546,1784,1,,221016,opt
suzuki_instance_3_15_2_3,687,3819,suzuki_instance_3_15_2_3_01,92,2213911939438873187790612775592103903967231260949938268585188482722001665,9580.92,9600,139435732,2.443974,2928,0,,,orig
sp015,195,1242,sp015_01,30,44323712108820516566,6104.8696,6115,149218016,0.169887,429,1,,480502,orig
sp015,195,1242,sp015_01,30,44323712108820516566,6093.39,6104,148480172,0.170381,344,1,,480502,heur
sp015,195,1242,sp015_01,30,44323712108820516566,6089.38,6100,148481484,0.172556,344,1,,480502,opt
suzuki_instance_3_15_2_2,458,1621,suzuki_instance_3_15_2_2_01,92,3619258993215587040499992278375222152754227270671117222674355,9581.99,9600,71666160,0.584560,2064,0,,,opt
suzuki_instance_3_15_2_2,458,1621,suzuki_instance_3_15_2_2_01,92,3619258993215587040499992278375222152754227270671117222674355,9582.2705,9600,71675268,0.580722,2064,0,,,heur
suzuki_instance_3_15_2_2,458,1621,suzuki_instance_3_15_2_2_01,92,3619258993215587040499992278375222152754227270671117222674355,9582.56,9600,73038528,0.601921,1952,0,,,orig
hc-power-013-002,199,302,hc-power-013-002_01,80,14603717836383728549736459587959249895,1685.26,1687.62,5416240,0.041857,892,1,,221016,heur
hc-power-013-002,199,302,hc-power-013-002_01,80,14603717836383728549736459587959249895,1627.11,1629.46,9184776,0.042384,844,1,,221016,orig
suzuki_instance_3_17_2_2,518,1835,suzuki_instance_3_17_2_2_01,104,288738314571244878597104857097219082257679688979603424549524521938803,9580.7,9600,137765404,0.758104,2344,0,,,heur
hc-power-013-002,199,302,hc-power-013-002_01,80,14603717836383728549736459587959249895,1681.34,1683.67,5416108,0.041881,892,1,,221016,opt
suzuki_instance_3_17_2_2,518,1835,suzuki_instance_3_17_2_2_01,104,288738314571244878597104857097219082257679688979603424549524521938803,9581.08,9600,137837160,0.750696,2344,0,,,opt
sp017,221,1410,sp017_01,34,17822431566207395633927,9581.13,9603,566816420,0.219207,390,0,,,heur
suzuki_instance_3_17_2_2,518,1835,suzuki_instance_3_17_2_2_01,104,288738314571244878597104857097219082257679688979603424549524521938803,9580.71,9600,139532512,0.782510,2216,0,,,orig
suzuki_instance_3_16_2_3,732,4071,suzuki_instance_3_16_2_3_01,98,115675613595561389858571836003725480008470730881273290601020692387477550621336,9580.89,9600,139187444,2.726257,3306,0,,,opt
suzuki_instance_3_16_2_3,732,4071,suzuki_instance_3_16_2_3_01,98,115675613595561389858571836003725480008470730881273290601020692387477550621336,9580.95,9600,139145492,2.749185,3306,0,,,heur
suzuki_instance_3_16_2_3,732,4071,suzuki_instance_3_16_2_3_01,98,115675613595561389858571836003725480008470730881273290601020692387477550621336,9581.07,9600,140855704,2.911101,3126,0,,,orig
sp017,221,1410,sp017_01,34,17822431566207395633927,9580.76,9603,566773320,0.219916,390,0,,,opt
sp017,221,1410,sp017_01,34,17822431566207395633927,9580.77,9603,567157176,0.220104,487,0,,,orig
suzuki_instance_3_18_2_2,548,1942,suzuki_instance_3_18_2_2_01,110,2578972994606081552998840647058156752439353181016076849493119618726131373,9581.681,9600,135792816,0.841373,2484,0,,,heur
suzuki_instance_3_18_2_2,548,1942,suzuki_instance_3_18_2_2_01,110,2578972994606081552998840647058156752439353181016076849493119618726131373,9581.22,9600,135645640,0.855866,2484,0,,,opt
suzuki_instance_3_18_2_2,548,1942,suzuki_instance_3_18_2_2_01,110,2578972994606081552998840647058156752439353181016076849493119618726131373,9581.529,9600,137056088,0.878322,2348,0,,,orig
sp016,208,1326,sp016_01,32,888794872746086303527,9582.64,9602,544344552,0.197824,458,0,,,orig
sp018,234,1494,sp018_01,36,357381749909002819498633,9580.72,9603,566514380,0.246934,413,0,,,opt
sp016,208,1326,sp016_01,32,888794872746086303527,9582.75,9602,543622692,0.195969,367,0,,,heur
sp016,208,1326,sp016_01,32,888794872746086303527,9582.74,9602,543621140,0.194312,367,0,,,opt
sp018,234,1494,sp018_01,36,357381749909002819498633,9580.851,9603,567606028,0.249274,516,0,,,orig
sp018,234,1494,sp018_01,36,357381749909002819498633,9581.279,9603,566287964,0.250312,413,0,,,heur
suzuki_instance_3_19_2_2,578,2049,suzuki_instance_3_19_2_2_01,116,23035050671345283351719367626055496431223513403127042193714323394717562801971,9581.931,9600,134687132,0.928892,2624,0,,,opt
suzuki_instance_3_19_2_2,578,2049,suzuki_instance_3_19_2_2_01,116,23035050671345283351719367626055496431223513403127042193714323394717562801971,9581.75,9600,134498364,0.958937,2624,0,,,heur
suzuki_instance_3_17_2_3,777,4323,suzuki_instance_3_17_2_3_01,104,6043983657317945690023415345536758706058213067793675705287969170924513589960047551,9581.5205,9600,138538012,3.042641,3516,0,,,heur
suzuki_instance_3_19_2_2,578,2049,suzuki_instance_3_19_2_2_01,116,23035050671345283351719367626055496431223513403127042193714323394717562801971,9581.71,9600,135479924,0.983651,2480,0,,,orig
suzuki_instance_3_17_2_3,777,4323,suzuki_instance_3_17_2_3_01,104,6043983657317945690023415345536758706058213067793675705287969170924513589960047551,9581.52,9600,138662600,3.070141,3516,0,,,opt
suzuki_instance_3_17_2_3,777,4323,suzuki_instance_3_17_2_3_01,104,6043983657317945690023415345536758706058213067793675705287969170924513589960047551,9581.57,9600,139269896,3.276373,3324,0,,,orig
sp019,247,1578,sp019_01,38,7166346224619009871910114,9581.05,9603,565959448,0.281188,436,0,,,opt
suzuki_instance_3_20_2_2,608,2156,suzuki_instance_3_20_2_2_01,122,205746070447896241656443684984037067255695036534260513913829729196842401292320493,9582.22,9600,134340720,1.037695,2764,0,,,opt
sp019,247,1578,sp019_01,38,7166346224619009871910114,9581.069,9603,565906744,0.280280,436,0,,,heur
sp019,247,1578,sp019_01,38,7166346224619009871910114,9581.03,9603,564518996,0.277839,545,0,,,orig
suzuki_instance_3_20_2_2,608,2156,suzuki_instance_3_20_2_2_01,122,205746070447896241656443684984037067255695036534260513913829729196842401292320493,9582.67,9600,134372692,1.049812,2764,0,,,heur
sp020,260,1662,sp020_01,40,143702128673855407653334840,9581.189,9603,565372208,0.314722,574,0,,,orig
sp020,260,1662,sp020_01,40,143702128673855407653334840,9581.11,9603,563380684,0.312797,459,0,,,opt
suzuki_instance_3_18_2_3,822,4575,suzuki_instance_3_18_2_3_01,110,315794637386977301824710419775120266593423689906753394793920574193998519457876660732532,9582.29,9600,137677244,3.500690,3726,0,,,opt
suzuki_instance_3_18_2_3,822,4575,suzuki_instance_3_18_2_3_01,110,315794637386977301824710419775120266593423689906753394793920574193998519457876660732532,9582.07,9600,137635752,3.476826,3726,0,,,heur
suzuki_instance_3_18_2_3,822,4575,suzuki_instance_3_18_2_3_01,110,315794637386977301824710419775120266593423689906753394793920574193998519457876660732532,9582.359,9600,138009836,3.661935,3522,0,,,orig
suzuki_instance_3_20_2_2,608,2156,suzuki_instance_3_20_2_2_01,122,205746070447896241656443684984037067255695036534260513913829729196842401292320493,9582.05,9600,134099580,1.102233,2612,0,,,orig
sp020,260,1662,sp020_01,40,143702128673855407653334840,9581.19,9603,563190964,0.307701,459,0,,,heur
suzuki_instance_3_14_2_3,642,3567,suzuki_instance_3_14_2_3_01,86,42371991150415351253763796628419929132706766921673666846547908370816,9580.51,9600,68601628,1.986936,2886,0,,,opt
suzuki_instance_3_14_2_3,642,3567,suzuki_instance_3_14_2_3_01,86,42371991150415351253763796628419929132706766921673666846547908370816,9574.19,9600,68583956,1.993707,2886,0,,,heur
suzuki_instance_3_14_2_3,642,3567,suzuki_instance_3_14_2_3_01,86,42371991150415351253763796628419929132706766921673666846547908370816,9571.6,9600,69886332,2.122206,2730,0,,,orig
suzuki_instance_3_19_2_3,867,4827,suzuki_instance_3_19_2_3_01,116,16500086475519460671465892935093131843186905222542813909728644772141868180984525410900012413,9582.45,9600,136369864,4.083483,3720,0,,,orig
sp021,273,1746,sp021_01,42,2881566301451636165758105547,9581.58,9603,566559248,0.346314,603,0,,,orig
sp021,273,1746,sp021_01,42,2881566301451636165758105547,9581.359,9603,564910768,0.346952,482,0,,,opt
sp021,273,1746,sp021_01,42,2881566301451636165758105547,9581.4795,9603,564285996,0.342588,482,0,,,heur
suzuki_instance_3_12_2_3,552,3063,suzuki_instance_3_12_2_3_01,74,15520865446438123865698137776787370340512054876661596017772,3463.66,3468.66,17348284,1.467542,2466,1,,110435,heur
suzuki_instance_3_19_2_3,867,4827,suzuki_instance_3_19_2_3_01,116,16500086475519460671465892935093131843186905222542813909728644772141868180984525410900012413,9582.391,9600,134904700,3.892835,3936,0,,,opt
suzuki_instance_3_19_2_3,867,4827,suzuki_instance_3_19_2_3_01,116,16500086475519460671465892935093131843186905222542813909728644772141868180984525410900012413,9582.31,9600,134788636,3.883480,3936,0,,,heur
suzuki_instance_3_12_2_3,552,3063,suzuki_instance_3_12_2_3_01,74,15520865446438123865698137776787370340512054876661596017772,3484.99,3490.13,17348196,1.448649,2466,1,,110435,opt
suzuki_instance_3_12_2_3,552,3063,suzuki_instance_3_12_2_3_01,74,15520865446438123865698137776787370340512054876661596017772,3404.38,3409.31,17613284,1.558568,2334,1,,110435,orig
suzuki_instance_3_12_2_2,368,1300,suzuki_instance_3_12_2_2_01,74,5079167438886921136163197043042252861907119717869,2011.64,2014.55,9355592,0.352436,1556,1,,110435,orig
sp022,286,1830,sp022_01,44,57782194503931197732687355894,9581.13,9603,564056720,0.384897,632,0,,,orig
sp022,286,1830,sp022_01,44,57782194503931197732687355894,9581.38,9603,562469440,0.380097,505,0,,,opt
sp022,286,1830,sp022_01,44,57782194503931197732687355894,9581.35,9603,562391400,0.381068,505,0,,,heur
suzuki_instance_3_14_2_2,428,1514,suzuki_instance_3_14_2_2_01,86,405207322404517013540974185499382529431898431389309556269,9585.721,9600,37486220,0.492238,1820,0,,,orig
suzuki_instance_3_12_2_2,368,1300,suzuki_instance_3_12_2_2_01,74,5079167438886921136163197043042252861907119717869,2063.5,2066.46,9211028,0.347505,1644,1,,110435,heur
suzuki_instance_3_14_2_2,428,1514,suzuki_instance_3_14_2_2_01,86,405207322404517013540974185499382529431898431389309556269,9585.71,9600,36727768,0.479412,1924,0,,,heur
suzuki_instance_3_14_2_2,428,1514,suzuki_instance_3_14_2_2_01,86,405207322404517013540974185499382529431898431389309556269,9585.81,9600,36726092,0.479116,1924,0,,,opt
suzuki_instance_3_12_2_2,368,1300,suzuki_instance_3_12_2_2_01,74,5079167438886921136163197043042252861907119717869,2055.3901,2058.34,9210204,0.349859,1644,1,,110435,opt
sp014,182,1158,sp014_01,28,2210399176849046821,2468.5,2472.85,71525988,0.148877,321,1,,240207,heur
suzuki_instance_3_20_2_3,912,5079,suzuki_instance_3_20_2_3_01,122,862119939566926114585904010553445717545646652417433118884707035332150842736079179060087306455460,9582.94,9600,134134492,4.280412,4146,0,,,opt
sp014,182,1158,sp014_01,28,2210399176849046821,2477.13,2481.52,71629892,0.149998,400,1,,240207,orig
suzuki_instance_3_20_2_3,912,5079,suzuki_instance_3_20_2_3_01,122,862119939566926114585904010553445717545646652417433118884707035332150842736079179060087306455460,9582.78,9600,134188088,4.355139,4146,0,,,heur
suzuki_instance_3_20_2_3,912,5079,suzuki_instance_3_20_2_3_01,122,862119939566926114585904010553445717545646652417433118884707035332150842736079179060087306455460,9583.17,9600,135176104,4.586538,3918,0,,,orig
sp014,182,1158,sp014_01,28,2210399176849046821,2470.02,2474.45,71526312,0.149463,321,1,,240207,opt
hc-power-012-002,184,279,hc-power-012-002_01,74,23637631794351951224765884378156416,668.43,669.44,4562532,0.036509,778,1,,110435,orig
sp023,299,1914,sp023_01,46,1158669158508749446227158558267,9581.869,9603,563615932,0.417681,528,0,,,opt
hc-power-012-002,184,279,hc-power-012-002_01,74,23637631794351951224765884378156416,695.93,696.94,2674828,0.036186,822,1,,110435,heur
hc-power-012-002,184,279,hc-power-012-002_01,74,23637631794351951224765884378156416,695.64996,696.67,2676836,0.036062,822,1,,110435,opt
sp023,299,1914,sp023_01,46,1158669158508749446227158558267,9581.17,9603,563361456,0.420543,528,0,,,heur
sp023,299,1914,sp023_01,46,1158669158508749446227158558267,9581.5,9603,564371568,0.417297,661,0,,,orig
sp024,312,1998,sp024_01,48,23234046930980371758441616626781,9581.09,9603,560492128,0.450845,551,0,,,opt
sp024,312,1998,sp024_01,48,23234046930980371758441616626781,9581.09,9603,560521832,0.455243,551,0,,,heur
sp025,325,2082,sp025_01,50,465897389972620115812792178449781,9581.53,9603,560073548,0.487427,574,0,,,heur
sp024,312,1998,sp024_01,48,23234046930980371758441616626781,9580.54,9603,561143032,0.458433,690,0,,,orig
sp025,325,2082,sp025_01,50,465897389972620115812792178449781,9581.82,9603,561344252,0.500617,719,0,,,orig
sp025,325,2082,sp025_01,50,465897389972620115812792178449781,9580.96,9603,559846728,0.492620,574,0,,,opt
sp026,338,2166,sp026_01,52,9342340515541891437460512344180668,9581.61,9603,559288512,0.566344,597,0,,,opt
sp026,338,2166,sp026_01,52,9342340515541891437460512344180668,9581.19,9603,559267848,0.559682,597,0,,,heur
sp026,338,2166,sp026_01,52,9342340515541891437460512344180668,9581.57,9603,560954916,0.563499,748,0,,,orig
sp027,351,2250,sp027_01,54,187335941747741429236781480678689922,9581.42,9603,559439252,0.611467,777,0,,,orig
sp027,351,2250,sp027_01,54,187335941747741429236781480678689922,9581.49,9603,558460644,0.605555,620,0,,,opt
sp027,351,2250,sp027_01,54,187335941747741429236781480678689922,9581.4,9603,560403620,0.608874,620,0,,,heur
sp028,364,2334,sp028_01,56,3756527072860343096288902918096428889,9581.92,9603,559825484,0.651664,643,0,,,heur
sp028,364,2334,sp028_01,56,3756527072860343096288902918096428889,9581.65,9603,559450408,0.651806,643,0,,,opt
sp028,364,2334,sp028_01,56,3756527072860343096288902918096428889,9581.08,9603,559896668,0.663196,806,0,,,orig
sp029,377,2418,sp029_01,58,75327219739470145246452300354951448370,9581.97,9603,558979032,0.712638,666,0,,,heur
sp029,377,2418,sp029_01,58,75327219739470145246452300354951448370,9581.77,9603,560527504,0.709091,835,0,,,orig
sp030,390,2502,sp030_01,60,1510488257804010989454571691497804086211,9581.87,9603,559072736,0.758909,689,0,,,opt
suzuki_instance_3_11_2_3,507,2811,suzuki_instance_3_11_2_3_01,68,297053356833130498046842386493717118445975204208510597,1443.41,1445.56,8633056,1.232158,2256,1,,55150,heur
sp030,390,2502,sp030_01,60,1510488257804010989454571691497804086211,9581.88,9603,559078872,0.743773,689,0,,,heur
sp029,377,2418,sp029_01,58,75327219739470145246452300354951448370,9581.51,9603,558963164,0.707888,666,0,,,opt
suzuki_instance_3_11_2_3,507,2811,suzuki_instance_3_11_2_3_01,68,297053356833130498046842386493717118445975204208510597,1446.42,1448.5,8634060,1.227157,2256,1,,55150,opt
sp030,390,2502,sp030_01,60,1510488257804010989454571691497804086211,9581.84,9603,560334760,0.752115,864,0,,,orig
suzuki_instance_3_11_2_2,338,1193,suzuki_instance_3_11_2_2_01,68,568656689618946704968673431690868636207362099,842.16,843.42,4569464,0.290650,1504,1,,55150,heur
suzuki_instance_3_11_2_2,338,1193,suzuki_instance_3_11_2_2_01,68,568656689618946704968673431690868636207362099,827.22003,828.51,4644540,0.295588,1424,1,,55150,orig
suzuki_instance_3_11_2_3,507,2811,suzuki_instance_3_11_2_3_01,68,297053356833130498046842386493717118445975204208510597,1428.15,1430.24,8769352,1.273182,2136,1,,55150,orig
suzuki_instance_3_11_2_2,338,1193,suzuki_instance_3_11_2_2_01,68,568656689618946704968673431690868636207362099,841.13,842.38,4570704,0.294700,1504,1,,55150,opt
sp013,169,1074,sp013_01,26,110231392826925386,1003.89996,1005.81,34811244,0.131058,371,1,,120065,orig
sp013,169,1074,sp013_01,26,110231392826925386,990.48,992.17,34768404,0.129685,298,1,,120065,heur
suzuki_instance_3_10_2_3,462,2559,suzuki_instance_3_10_2_3_01,62,5685294876780307085286656129015170472504012313580,583.04,583.93,4291452,0.952564,2046,1,,27513,heur
hc-power-011-002,169,256,hc-power-011-002_01,68,38259958395890004445076194998031,282.47,282.9,1318692,0.030769,752,1,,55150,opt
hc-power-011-002,169,256,hc-power-011-002_01,68,38259958395890004445076194998031,281.24,281.66998,1320472,0.030724,752,1,,55150,heur
sp012,156,990,sp012_01,24,5497179012654760,400.69,401.41,17007636,0.112258,342,1,,59994,orig
hc-power-011-002,169,256,hc-power-011-002_01,68,38259958395890004445076194998031,273.69,274.14,2263572,0.030621,712,1,,55150,orig
sp013,169,1074,sp013_01,26,110231392826925386,990.82,992.48,34768360,0.131336,298,1,,120065,opt
suzuki_instance_3_10_2_3,462,2559,suzuki_instance_3_10_2_3_01,62,5685294876780307085286656129015170472504012313580,578.76,579.64,4293024,0.933452,2046,1,,27513,opt
suzuki_instance_3_10_2_3,462,2559,suzuki_instance_3_10_2_3_01,62,5685294876780307085286656129015170472504012313580,578.88,579.77,4354684,0.999085,1938,1,,27513,orig
suzuki_instance_3_10_2_2,308,1086,suzuki_instance_3_10_2_2_01,62,63666030809026528853042316005043465188781,337.16,337.7,2266256,0.241970,1364,1,,27513,heur
hc-power-010-002,154,233,hc-power-010-002_01,62,61927710406463170775241686526,113.07,113.259995,653224,0.025391,682,1,,27513,heur
sp012,156,990,sp012_01,24,5497179012654760,395.87,396.58002,16975000,0.111563,275,1,,59994,heur
suzuki_instance_3_10_2_2,308,1086,suzuki_instance_3_10_2_2_01,62,63666030809026528853042316005043465188781,337.63998,338.18,2265000,0.241816,1364,1,,27513,opt
sp012,156,990,sp012_01,24,5497179012654760,395.63,396.34,16964988,0.110994,275,1,,59994,opt
suzuki_instance_3_10_2_2,308,1086,suzuki_instance_3_10_2_2_01,62,63666030809026528853042316005043465188781,334.21,334.76,2298320,0.250366,1292,1,,27513,orig
hc-power-010-002,154,233,hc-power-010-002_01,62,61927710406463170775241686526,109.85,110.03,1121196,0.025654,646,1,,27513,orig
suzuki_instance_3_9_2_3,417,2307,suzuki_instance_3_9_2_3_01,56,108810680278228827478442259611303322486183127,229.66,230.03,2137420,0.774234,1836,1,,13700,heur
sp011,143,906,sp011_01,22,274141297884341,152.33,152.62,4590112,0.094045,313,1,,29964,orig
sp011,143,906,sp011_01,22,274141297884341,149.99,150.28,4573648,0.094679,252,1,,29964,opt
suzuki_instance_3_9_2_3,417,2307,suzuki_instance_3_9_2_3_01,56,108810680278228827478442259611303322486183127,229.26,229.63,2167948,0.816116,1740,1,,13700,orig
sp011,143,906,sp011_01,22,274141297884341,149.93001,150.22,4575636,0.094435,252,1,,29964,heur
hc-power-010-002,154,233,hc-power-010-002_01,62,61927710406463170775241686526,112.44,112.630005,651848,0.025381,682,1,,27513,opt
suzuki_instance_3_9_2_3,417,2307,suzuki_instance_3_9_2_3_01,56,108810680278228827478442259611303322486183127,228.07,228.43,2138736,0.764861,1836,1,,13700,opt
suzuki_instance_3_9_2_2,278,979,suzuki_instance_3_9_2_2_01,56,7127962359313926592651731204666511475,134.59,134.82,1122056,0.198734,1224,1,,13700,heur
hc-power-009-002,139,210,hc-power-009-002_01,56,100236421495919298704585535,44.1,44.19,321992,0.021078,612,1,,13700,opt
SAT_exp_instance020,330,590,SAT_exp_instance020_01,120,277652867496406121569286204689753837201613861210146991477922816,7148.99,7164,544526996,6284.590235,136134354,1,,7193,heur
suzuki_instance_3_9_2_2,278,979,suzuki_instance_3_9_2_2_01,56,7127962359313926592651731204666511475,133.81,134.03,1121236,0.200839,1224,1,,13700,opt
hc-power-009-002,139,210,hc-power-009-002_01,56,100236421495919298704585535,44.2,44.28,320928,0.021024,612,1,,13700,heur
hc-power-009-002,139,210,hc-power-009-002_01,56,100236421495919298704585535,43.21,43.28,327648,0.020928,580,1,,13700,orig
suzuki_instance_3_9_2_2,278,979,suzuki_instance_3_9_2_2_01,56,7127962359313926592651731204666511475,132.41,132.64,1141376,0.203775,1160,1,,13700,orig
suzuki_instance_3_8_2_3,372,2055,suzuki_instance_3_8_2_3_01,50,2082524196056536802687690195561640899488,87.590004,87.74,1075516,0.636273,1542,1,,6799,orig
sp010,130,822,sp010_01,20,13671275945845,55.93,56.05,2195164,0.076619,229,1,,14949,heur
sp010,130,822,sp010_01,20,13671275945845,55.79,55.9,2206368,0.076436,229,1,,14949,opt
sp010,130,822,sp010_01,20,13671275945845,56.550003,56.67,2197036,0.078409,284,1,,14949,orig
suzuki_instance_3_8_2_3,372,2055,suzuki_instance_3_8_2_3_01,50,2082524196056536802687690195561640899488,86.810005,86.96,1064580,0.601208,1626,1,,6799,heur
suzuki_instance_3_8_2_3,372,2055,suzuki_instance_3_8_2_3_01,50,2082524196056536802687690195561640899488,86.96999,87.12,1064148,0.599840,1626,1,,6799,opt
suzuki_instance_3_8_2_2,248,872,suzuki_instance_3_8_2_2_01,50,798036986916937705245927179287917,50.73,50.82,567228,0.161524,1028,1,,6799,orig
suzuki_instance_3_8_2_2,248,872,suzuki_instance_3_8_2_2_01,50,798036986916937705245927179287917,51.01,51.1,558168,0.158835,1084,1,,6799,heur
SAT_exp_instance018,270,477,SAT_exp_instance018_01,99,873873569991273303134209907448251231957953821107712,663.98,665.24,37014176,504.109399,20438226,1,,3597,heur
LGC_exp_instance007,343,399,LGC_exp_instance007_01,168,674516536127394145681870502747660267690305580542417422016749275459855100,603.30005,604.26,8756568,3.822038,172186,1,,2183,heur
hc-power-008-002,124,187,hc-power-008-002_01,50,162243043192809350629208,16.449999,16.49,161664,0.016583,514,1,,6799,orig
suzuki_instance_3_8_2_2,248,872,suzuki_instance_3_8_2_2_01,50,798036986916937705245927179287917,50.66,50.75,558432,0.156695,1084,1,,6799,opt
hc-power-008-002,124,187,hc-power-008-002_01,50,162243043192809350629208,16.73,16.77,159568,0.016622,542,1,,6799,opt
LGC_exp_instance007,343,399,LGC_exp_instance007_01,168,674516536127394145681870502747660267690305580542417422016749275459855100,995.81,997.65,33849116,97.112919,11862645,1,,2183,orig
hc-power-008-002,124,187,hc-power-008-002_01,50,162243043192809350629208,16.710001,16.75,158632,0.016437,542,1,,6799,heur
sp009,117,738,sp009_01,18,681779022095,20.59,20.64,1062204,0.062921,255,1,,7447,orig
sp009,117,738,sp009_01,18,681779022095,20.25,20.29,1056760,0.062541,206,1,,7447,heur
suzuki_instance_3_7_2_3,327,1803,suzuki_instance_3_7_2_3_01,44,39857365251895888743559670313178249,33.030003,33.1,539648,0.456093,1344,1,,3354,orig
sp009,117,738,sp009_01,18,681779022095,20.3,20.34,1055060,0.062964,206,1,,7447,opt
suzuki_instance_3_7_2_3,327,1803,suzuki_instance_3_7_2_3_01,44,39857365251895888743559670313178249,32.07,32.13,530712,0.438112,1416,1,,3354,heur
